node_id	feature(feature_amount:931)	label
3714	521,92,138,779	2
1965	521,61,138	2
5395	92,138,521,570,675	1
1173	12,92,55,138,144,163,286,521	3
3970	80,92,138,334,531	2
1150	399,849,521	3
976	77,524	1
1319	61	1
169	92,138,100,66,469	2
69	92,102,138,252,521	3
5465	92,138,281,637,250,331,881	4
1568	21,26,345,414,419,521,604,757,770,775,591	4
296	49,102,116,128,497,793,875	3
7393	92,146	1
981	521,611,92,453,531	2
3808	92	1
4198	651,825,827,828	2
3089	270	2
3366	77,90,92,187,302,481,149,861,138,521,693	2
1137	521,21,138	1
6221	521,575,813	2
1907	92,138,521,539,907,591,637	4
7362	364,369,384,387,521,787,522,374	3
3870	369,381,385,387,384,233,521,211	4
4507	92,132,138,481,521,704	1
1510	92,49,138,144,499,521,570,615	4
3971	10,92,132,138,57,188,208,209,348,356,481,873	4
1783	92,138,356,469,521	3
1253	521,101,138,637,627,539,290	2
5810	21,92,447,830,521,745,785	2
850	521,447,92,138,690	4
2272	21,92,138,562	1
3281	554,409	3
4779	12,92,106,326,469	1
1582	364,294	3
3996	80,111,133,138,469,481,521	3
5235	62,92,138,521,539,417	4
6634	303,428,424,521,718	3
5761	92,138,77,677	1
2166	342,144,138,776	1
2080	91,92,412	2
6699	334,361,360,387,380,371	4
1777	931	3
4161	33,165,369,381,387,390,671,415	4
6592	488	1
5165	32,369,387,385,381,834,811,586,522,581,230,214,228,213	4
7067	60,92,111,55,132,138,243,481,794,611,873,901	3
1249	387,390,521	1
7190	931	4
6344	92,49,132,138,237,499,570	1
2473	92,918,106,881,704,188,193,201,804,334	4
3296	92,138,469,521	0
4437	77,92,138,521,562,605,900	1
4167	92,138,521	1
2102	521	0
238	92,129,138,481,521	2
6295	521	0
249	361,369,11,337	4
4191	369,751,521	3
3575	677,21,138	0
1010	60,92,138,290,540,856	4
5161	92,55,133,138,491,521,630	3
4683	92,138,356,521,745,905	2
4842	21,122,521,748	1
5262	49,80,92,132,138,144,240,342,500,724,872,901	4
4915	521,92,132,457,456,481,535,59	3
219	61,521	0
4373	901,132,92,138,918,243,334,55	1
5726	129,138,433	0
4270	369,387	1
6505	521,428,430,429	2
3939	92,101,138,252,521	2
4210	92,132,315,611	0
2064	58,60,77,78,91,92,129,138,142,144,521,570,553,86,155	4
6325	263,268,521,928	2
7590	363,369,387,521	3
6918	92,138,144,51,734,893,541	3
3895	92,129,132,138	1
3274	92,138,521,779	1
2637	92,138,491,521	3
1971	263,255,268,499,521,761	3
2475	393,349	4
3202	428,426,427,431,155,718,9,521,424,17,219	4
3189	92,49,132,138,143,499,521,892,637	3
4275	521,92,132,138,873	1
7396	369,384,387,672	3
6354	92,129,138,252,301,521,619,780	2
7210	80,92,49,132,499,500,521	2
6940	92,446,329,704,852,901	4
1893	21,92,129,138,311,521,591	3
1355	361,372,585	2
6211	369,385,387	1
2474	928,521,92,138,728	1
7191	521,92,138,132	3
4910	61,521,625	1
5330	92,138,121,144,106,879,679,778,320	3
5293	334	1
4668	92,138,481,540,563,521	2
2317	361,369,507,11,581	2
1872	92,127	2
5373	334,205,476,477,638	3
5369	49,92,138,132,188,252,249,292,499,521,677,861	4
1523	66,92,132,138,481,491,295,356,521,615,698,927	4
588	221,369,385,558,672,873	4
7432	369,387,390	3
6440	92,106,138,139,144,246,334,677,884,895	4
2730	21,92,132,138,142,203,570,704,927	4
5475	268,521	1
4461	11,151,188,193,226,195,223,231,369,385,387,448,507,521,224,814,834	4
6898	521,138,92	0
7319	92,747	2
477	138,106,881,413,675	4
556	837,80,127,611,677	1
4805	61,521,92,134,138,144,747,46	2
3181	92,138,562,521	1
2929	522,40,387,369,385,151	3
684	521,715,694,267,263,268,256,275	3
3243	92,132,385,369,873	1
1428	393,495,521	4
7105	6,240,284,307,308	3
3688	306,521	3
7557	193,226,221,240,334,369,383,901,918	4
5743	92,138,331,778,918	2
2000	77,92	0
564	21,27,129,92,138,132,111,604,873	2
5415	521,214,369,387,385,522,213	4
1194	92,521,570	2
6169	521,369,385,387	0
1996	521,92,138,605,562	1
2416	21,60,85,92,111,334,843	3
1914	77,49,112,138,499,497,521	1
2876	521,916,912,911,913,914	3
1317	77,92,49,138,412,499,521,756	1
6270	33	2
3561	21,22,80,92,138,463,521,582,626	2
5155	521,551,919	1
7306	77,92,132,138,68,55,521,570,704	4
6610	369,383	0
2763	472	2
5971	361,371	3
6179	399,293,682,403	1
2380	263,268,521,591	3
980	61,521	1
3092	521,60,92,116,91,447,140,875,795,284,634,250,142,58,446,13,582,449,45,150	4
3375	441,443,444,445,499,446,442,240	3
3558	361,369,385,387,507,294,11	2
2287	521,61,102,92,132,111,125,49,497,128,499,675,776,696,553	4
870	77,92,132,526,726	3
1697	44,92,132,138,263,267,268,434,481,521,531,611	3
3129	92,138,252,254,481,521	3
2863	177,521	3
4699	521,92,138,710,918,583	2
5301	77,92,138,570,770	4
4342	92,205,49,558,499	4
4450	92,127,735	3
3225	672,387,369,319	4
6137	129,138,132,521	3
5021	732,487	1
7376	369,387,384,521,361,614	4
3260	77,78,91,92,49,111,129,138,144,252,499,569,619,521	3
7277	362,188,194,197,200,305,20,356,369,385,387,381,390,165,521,834,814,811,377	4
6991	263,267,268,369,384,385,387	4
6894	521,499,235,236,384,387	1
2969	92,49,138,217,499,521,686,864	2
2729	92,129,132,138,521,604	2
6828	92,208,307,342,460	4
7272	883,92,138,290	1
5992	521,738,138	2
1475	92,593	1
4540	15,92,132,138,593,193,491	4
6093	61,92,127,263,266,254	4
6384	21,25,92,111,138,348,467,468,668,864,873	3
280	92,138,144,448,320	4
2562	92,138,144,356,743,905	4
6635	77,92,138,447,446,521,541,691,886	3
2073	369,384,385,387,521	4
27	369,387	1
307	18,890,92,349,474,663	4
4580	92,138,521,704	0
2950	156	0
5412	521,173	0
4640	92,90,704	3
6399	92,138,686,333,864	4
5961	521,441,444,607	2
1343	369,385,387,334	3
5731	92,138,252,521,677	2
5809	521,92,138	1
2300	358,361,499,571	2
5410	92,111,132,138,521,615,696	2
3169	931	2
7151	92,111,132,138,144,161,420,733,252	4
3190	353,352,521	2
3669	222,369,387,320,485	4
2119	521,571	2
7448	521,838	1
2664	173,177,753,169,521,928,178	2
4953	49,92,138,499,570,615	1
7104	144,92,121,138,252,521	0
3403	76,92,138,163,351,481,508,252,521,540,599	2
3167	352,521	0
7469	92,759,865	3
5996	21,22,27,61,80,160,325,626	2
4993	60,46,82,102,138,521,570,590,770	4
5218	369,387	1
1898	521,268,263	1
582	92,238,615,901,334	4
3731	92,138,521,618	3
4143	785	1
5568	521,138	2
699	488,521,732,821	4
2570	92,138,292,295,521,707	3
6846	118,49,93,92,138,763,602,521	4
4897	269,268,521,715	1
144	92,138,311,521,745,765	1
1221	521,138	2
1607	61,601	2
7184	521,236	1
6785	521,651,825,828,188,581	4
3369	10,92,132,138,722,521	1
4178	92,138,504,521	2
2131	825,828,39	1
5848	10,92,49,138,186,205,499,570,615	4
221	92,49,138,252,481,499,521	4
4078	575	1
774	521,695,138,21,129,92	3
5985	138,92,561	1
6477	825,828,7,6	2
3412	92,138,307,357,531,688	4
5084	196,263,277,268,270,356,521,672,877,260,595	4
5076	223,369,387,521,231,228	4
5046	92,132,138,295,521,707	3
6979	521,225,581,814	3
5023	521,891,504,60,92,138,196,357,538	4
3113	369,385	3
4197	92,111,121,55,132,205,491,338,901,921	4
6064	92,138,521,744	4
5647	369,385,387	2
6217	37,92,129,132,144,203,521,546,681	4
2536	121,144,157,521,677	3
1603	92,101,129,138,311,521	4
4843	92,127,679,342	1
7110	64,106,804,521,880	1
2422	521,369,372,380,581	4
1004	138,92,107,759,865,880	3
4291	32,369,385,387,585,485	4
6389	342,369,387,610,238	3
2645	334,92,917	1
269	92,252	0
110	77,92,138,252,521,778	2
4566	21,92,138,144,521,570,704	3
2610	92,127,769,334	1
2791	92,138,144,469,481,521	3
4403	521,503,558	3
7250	77,138,521,677	0
4376	521,229,236,285	0
4397	92,717,344	2
3510	931	4
5048	521,527,117,704	4
32	77,92,129,138,521,574,706,898	4
6955	92,111,132,138,190,330	3
6917	369,387,385,522	4
4609	825,827,828,521,639	2
4464	127,901	1
7553	77,92,138,252,347,521,713	1
776	263,268,434,521,652	2
527	521,672,387,369	2
2464	931	3
4241	395,441,904,517	4
7386	321,472,471,455,472	4
1773	92,132,334,541,734,41	2
6208	92,138,481,611,677	1
7449	92,138,142,254,521,648,704	4
669	92,138,144,252,521,719	3
993	92,138,163,286,461,521,784,794	2
7380	153,263,268,275,276,467,521,640	2
1409	80,133,138,212,499,500,510,521	3
5545	92,127,242,254,263,357	4
2012	521,441,440	0
6201	77,92,138,521	2
642	10,92,52,132,188,194,197,356	4
5699	77,78,481,91,92,116,138,60,660,521,865,830	4
7305	92,138,481,12,521	2
4407	80,21	2
4548	521,808,138,413	1
6842	92,334	1
1422	308,343,307	0
6880	369	1
4923	92,132,138,144,331,542,708	3
486	471,472,455	4
3335	476,477,478,521	1
3371	77,92,138,141,144,794,252,521,593,779	4
1332	15,10,92,49,296,499	4
4473	99,469,92	3
6588	251,92,49,132,138,499,481,521,769,906	3
3158	521,572,571,573,416	3
6302	521,440	2
5348	263,267,268,348,521,694,834	1
6176	92,144,336,633,865	2
7365	92,49,106,120,138,281,356,499,521,724,880	4
5331	2,809,738,594,449	4
2662	12,21,77,92,138,521	2
457	369,384,385,387,730	3
6447	521,77,138,481	2
139	61	2
215	92,111,55,132,138,144,80,311,348,433,481,513,514,834,873	4
6279	12,21,27,60,84,91,92,124,188,189,208,209,28,23,25,469,521	4
4449	92,55,132,138,481,518,513,570,615	3
484	77,92,138,521,736,865	3
4610	229,235,236,521,294	3
1014	521,306	4
79	92,138,77	0
1674	156,64,521,928	0
365	92,129,138,144,481,836,521,704,570,491,41	4
4768	521,236	1
607	931	1
4706	173,416	3
4433	822,77,46,92,138,252,521,562,644,741	4
3197	857	2
631	521,138,92,759	3
5229	92,138,292,521,758,864	2
5450	521,361,372,236	4
4669	229,236,672	4
4120	521,844,425	2
1439	92,127,77	1
3892	92,132,504,334	2
6015	92,112,138,521,865	2
6822	92,138,144,521,562,721,778,46	4
1336	476,478,521,544,631	4
7084	369,387,385,381,390,834,814,811,521	4
4278	229,236,499,509,512,521,433	2
1256	521,571	1
1071	92,132,138,433,450,511,521,728,792,513	4
7568	931	2
6790	672,363,369,361	2
1369	92,138,521,544,759	3
7401	92,132,481,521,728	2
6869	92,138,295,521	4
5446	9,521,845	4
4289	77,92,129,138,85,252,521,677	2
1408	931	1
7046	487,918,844,18	1
6083	521,60,92,138,77,252,674	4
5537	92,138,144,80,794,724,872	3
6779	402,401,521	3
5467	117,393,89	1
6524	92,138,142,188,204,208,306,356,474,521,542,577,636	4
992	90,92,138,521	2
5631	92,49,110,499,548,611,782	1
2426	173,177,521	3
2348	6,216,49,497,128,748,901,60,334,817	4
3242	92,138	1
7441	930,92,91	1
2617	521,387,369	1
2153	85,92,144,521,675	1
7025	92,132,138,144,491,521,748,880	3
4470	92,132,138	2
6793	21,783,92,132,138,163,252,521,540,554	4
1212	865,77,92,521	1
312	138	1
301	229,235,236,294,348,743	2
6501	92,138,197,521,563,770	4
6585	92,138,132,704,570,591,285	3
1423	212,369,387,521,512	2
4169	92,106,132,138,205,417,439,873	3
256	80,49,500,521,15,880	2
5376	912	2
4857	521,651,825,828	2
6655	61,521	0
5313	521,263,268,261	4
458	385,512	3
3776	188,197,385,369,305,20,522,361,811,834	3
877	583,60,55,297,19,138,132,92	4
5970	361,37	2
4497	931	2
7040	521,672,387,369,385,381	2
1376	521,361,387,369,385,384,372,375,632,862,486	3
6487	92,615	1
6101	92,138,144,149,704,292,448	4
1069	10,92,132,138,57,208,531,861	3
3660	92,714,138,521,139,411	3
3609	303,521	2
6331	39,369,385,387,521,614,811,834	3
2907	765,825,827,828	3
638	92,138,144,521,669,560	1
1268	92,138,469,521	2
80	92,138,521,704,847	2
4329	92,111,138,559,712	1
2547	77,92,138,521,747	1
3536	92,138,163,494,521,538,540,760,895	3
5934	173,176,177,179,521,533,753	3
4997	521,263,268,260	0
3153	521,626,138,144,111,237	0
4294	92,138,570,704	1
2168	931	0
5266	521	3
3176	10,92,49,132,142,188,193,195,201,199,252,348,499,521,579,814	4
3285	60,77,92,91,132,49,144,188,307,499,497,517,570,567,704,877	4
4269	521,21,22,92,111,138	3
1199	229,235,236,672	0
6574	92,132,745	3
4455	75	0
4164	369,385,387,521	3
4344	111,132,85,736,865	3
4588	521,27,84,102,116,124,448,602,611,595	4
1806	92,132,138,106,283,18,474,853,854,313	4
6081	369,387,372,834,811,521,610,214,376,213	3
4844	425,426,521	2
5230	660,90,138,865,92	2
3540	361,369	0
7293	90,92,138,142,252,521,778	3
6117	441,444,521	2
4080	92,318	0
2301	476,478,477,928,521	0
5451	464	0
2046	12,60,92,102,111,132,433,511,625,665	4
1688	92,132,138,49,499,521	2
3665	521,92,138,145,481,491,625,785	2
4647	60,77,91,92,49,252,550,138,144,535,456,499,481,497,502,521,780	4
3023	476,478	0
5490	521	0
2736	61,138,677	3
4823	92,138,460,499,793,816,334,776	3
4490	440,521	1
4011	901,61,92,127,837,735	1
7224	92,138,142,211,547	4
1518	428,521	3
277	61	0
7102	521	2
3177	931	0
380	891,21,92,132,138,747	2
7299	92,677,521	1
6065	80,106,216,240,247,250,337,473,717,901	4
6854	21,92,123,138,142,521,570,615	3
5787	92,138,30,683,21,521	2
1616	521,263,268,694	1
7360	521,144,562,757	2
5150	287,461,521	4
3323	472,521	3
727	77,92,521,561	2
370	92,904,699,648	2
7176	92,138,163,508,521,558,593,779	3
2084	39,57,198,356,369,385,387,390,579,750,811,873,348	4
6035	77,92,252,138,677	1
1851	361,369,387,283	2
4052	123,521,615,49,484,919	3
6761	92,49,138,144,473,499,521,646,675,821	4
4297	521,61,138,491,570,798,615	1
1015	132,477,409,92	1
3729	92,127	0
5681	521,92,138,769,906	3
6696	60,91,92,132,138,334,626	1
2257	92,55,132,138,142,144,357,481,202,356,434,570,567,569,675,696,840	4
3150	138,114,521,630,677	3
6915	133,138,81,763,521,82,280	2
6930	92,138,521,583,763	4
6244	121,138,144,473,661,778,901	4
1746	92,129,138,521,728,850	3
226	92,127,898,50,241,334	4
4240	21,148,92,578,295,521	1
289	521,92,55,132,138,144,481,210	2
85	334,92,127	1
140	521,138,92,111,892	2
6935	521,37,229,236,672,842	3
880	92,132,129	2
5773	92,420,447,481,49,138,252,521,741	3
865	92,138,704,334	3
6713	13,89,91,92,394,521,582,591,926,145,447,481	4
3783	92,138,252,521	1
5459	92,132,138,355,521	1
2266	21,92,138,521,602	0
7197	92,205,337,344,415,456,481,536,535,558,844,918	4
3148	591	4
4595	92,138,252,521	3
4237	521,80,831,611	2
1085	138,92,439	2
6902	521,92,138,77,290	3
6627	188,521,651,825,827,828	2
676	92,138,340	2
3565	92,138,521,618	3
6579	92,521,724	2
5471	129,132,138,144,840,12,49,499,521	3
3212	37,362,369,381,385,387	4
1562	92,138,521,570	2
3350	225,361	1
5882	92,778,315	4
3871	92,138,144,157,521,898	3
7374	92,138,521,704	2
6653	931	1
705	92,127,901	1
7391	92,132,138,521,704,17	4
2724	92,49,111,55,138,217,499,577,770	3
1636	92,61,127,252,738	3
7331	521	4
5605	61,92,127,138,77	1
7304	92,138,159	2
6896	92,138	1
6604	92	0
35	92,121,138,325,326,748	3
4504	521,397,466,491,794,847,138,92,704	3
1043	488,873	0
2975	294,369,381,385,387,390,751	3
4104	73,513,521,615,509	3
7188	92,94,102,129,138,521,524	3
1429	92,132,292,521,570,776	2
3876	66,80,100,133,521,774	4
7417	521,472	3
3333	92,469,521,708	3
2284	144,521,615	3
4465	521,92,132,138	2
4147	92,138,521,541,691	3
2361	425	0
7369	931	4
977	225,521	2
7327	92,138,521,921	2
1247	92,138,144,357,343,369,358,387,390,558	4
1917	64	2
5808	229,476	0
3953	92,49,132,138,348,499,579,704,831,873,521	1
4262	183	3
3273	425,521	0
5356	521,369	0
382	92,111,138,494,521,163	3
6808	521,666,504,92,138,704	3
864	92,138,521,29	2
6701	521,846	3
2639	61,92,138,737,521	3
4736	92,132,138,521,562,900	1
5292	92,138,521,704	0
3226	123,521,615,345,565	3
6546	369,385,387,372,390,834,814	3
71	173,174,177,188,193,226,195,521,571,572,753	4
4395	387,385,39	0
3579	60,92,118,123,491,521,684,756,919	4
3057	61,521	0
3111	92,138,144,77,738,521,292	4
4413	387,384,610	4
736	92,138,106,298,521	4
2909	92,77,324,433,513	1
1149	868,364	2
5295	369,383,837,549	3
4631	37,334,384,369,387,385	4
2003	92,138,111,132	3
3893	49,121,144,242,320,499,677,727,738	4
528	77,92,49,129,138,499,447,446,445,521,570,615,704,817,816	4
4532	92,115,132	1
2979	823,825,343	2
5117	92,481,357,421,285,570,591,675,696	4
4908	37,364,369,387,390,521,868,922	4
1557	92,138,49,499,521,570,704	2
7118	12,92,138,144,450,521	2
3742	334,369,387,385,581	4
55	440	2
871	173,177,179,181,521,753	3
3105	263,258	0
2249	263,268,521	0
3637	364,369,372,385,386,387,390,614	4
3930	92,138,412,521,648	1
7181	521,61,518,511,141,115	3
485	92,111,138,521,582,626,889	2
6078	176,534,533	2
1287	92,106,332	4
2788	263,268,521,928	0
3857	77,138,521,743	2
1506	92,481,15	2
3941	92,521,625	2
1677	361,369,334	4
5443	138,491,521,748	3
7558	92,928,521	2
4907	184,521	1
3496	46,83,69,92,124,875,60,677,695,757,521,250	4
3445	92,132,138,144,521,704,927	2
830	92,138,506,521,540,833,542,577	4
3881	92,138,143,521,628	4
1700	426,428	4
2897	138,252,677,844,92	2
5202	90,92,521,744,843	3
7349	476,521,631	0
4517	426,428,521	1
5080	92,138,521	0
5340	92,138,141,217,252,420,521,677	2
4146	105,61,768,918	4
7434	369,387	2
761	92,138,499,49,521,886,165	3
2973	132,901,92	3
6628	92,138,491,61,521,562,630	3
3932	92,132,138,831,160,521	2
1237	521,228,387,369	3
3927	92,252,521,738	3
1791	931	3
3453	362,363,369,521,672	3
1061	12,92,55,138,481,521,625	3
1768	369,385,387,363,334	2
4023	53,10,92,132,194,203,348,481,521,539,637,873,104,517	4
3586	521,858	3
4134	92,138,521,600	2
5190	138,90,129,518,704	2
6783	369,842	2
6166	92,138,252,521,768	1
6553	521,428,429,303,188	4
4533	521,177,41	1
6249	77,86,92,129,138,834,195,252,249,446,447,491,521,677	4
5020	92,138,521,686	2
4932	60,77,78,91,92,116,124,138,457,456,565,553,704,391	3
